"Gene","Dataset","Trait","Method","HGNC","Transcript","Chromosome","Start","End","Biotype","Z","P","Permutation.P","R2","Top.GWAS.SNP","Top.GWAS.P","Screen.P","Screening.Adjusted.P","Confirmation.P"
"ENSG00000102882","Developmental","SCZ","isoTWAS","MAPK3","ENST00000490298",16,30114105,30123506,"protein_coding",7.820750482,5.25e-15,0.006993007,0.027046429,"rs4788204",2.94e-14,1.06380514529748e-15,1.51935851681027e-13,3.675e-14
"ENSG00000013364","Developmental","SCZ","isoTWAS","MVP","ENST00000357402",16,29820394,29848039,"protein_coding",-6.927915622,4.27e-12,0.004995005,0.014963303,"rs4788204",2.94e-14,1.09716873209714e-15,1.55326369888735e-13,1.708e-11
"ENSG00000156858","Developmental","SCZ","isoTWAS","PRR14","ENST00000563211",16,30650717,30656413,"protein_coding",7.343826524,2.08e-13,0.004995005,0.059246903,"rs4788204",2.94e-14,2.03982322690506e-12,1.63784612233934e-10,1.872e-12
"ENSG00000180096","Developmental","SCZ","isoTWAS","SEPTIN1","ENST00000652617",16,30378135,30395991,"protein_coding",7.53907881,4.73e-14,0.004995005,0.023108338,"rs4788204",2.94e-14,1.80194837404185e-13,1.76252392779766e-11,1.419e-13
"ENSG00000099385","Developmental","SCZ","isoTWAS","BCL7C","ENST00000572628",16,30833626,30894302,"protein_coding",-6.64293995,3.07e-11,0.002997003,0.019695186,"rs4788204",2.94e-14,9.2099904765856e-11,5.40509222914963e-09,6.14e-11
"ENSG00000149930","Developmental","SCZ","isoTWAS","TAOK2","ENST00000570844",16,29973868,29992261,"protein_coding",-8.262189294,1.43e-16,0.002997003,0.051775101,"rs4788204",2.94e-14,2.8599999999999e-16,4.61575399999984e-14,1.43e-16
"ENSG00000169955","Developmental","SCZ","isoTWAS","ZNF747","ENST00000395094",16,30530367,30535347,"protein_coding",-6.63789396,3.18e-11,0.000999001,0.01281804,"rs4788204",2.94e-14,9.53970639584732e-11,5.5581704520787e-09,6.36e-11
"ENSG00000229809","Developmental","SCZ","isoTWAS","ZNF688","ENST00000223459",16,30569672,30572734,"protein_coding",6.89286715,5.47e-12,0.000999001,0.035823735,"rs4788204",2.94e-14,2.73497288777801e-11,1.80635232721536e-09,2.188e-11
"ENSG00000103495","Developmental","SCZ","isoTWAS","MAZ","ENST00000562557",16,29806106,29811164,"protein_coding",-7.931112891,2.17e-15,0.000999001,0.013275832,"rs4788204",2.94e-14,2.2105095214974e-14,2.54824379767475e-12,1.953e-14
"ENSG00000169957","Developmental","SCZ","isoTWAS","ZNF768","ENST00000380412",16,30524004,30526821,"protein_coding",-7.974888428,1.53e-15,0.000999001,0.032313423,"rs4788204",2.94e-14,3.1488574068673e-15,4.00152832200247e-13,1.53e-15
"ENSG00000103549","Developmental","SCZ","isoTWAS","RNF40","ENST00000564260",16,30761745,30776307,"protein_coding",-7.006922653,2.44e-12,0.000999001,0.011151628,"rs4788204",2.94e-14,2.12319917331386e-15,2.8555259548427e-13,2.097e-11
"ENSG00000261052","Developmental","SCZ","isoTWAS","SULT1A3","ENST00000567309",16,30199228,30204310,"protein_coding",-7.386973008,1.5e-13,0.000999001,0.012041277,"rs4788204",2.94e-14,4.13102005686378e-16,6.53632673507104e-14,2.2e-13
"ENSG00000261052","Developmental","SCZ","isoTWAS","SULT1A3","ENST00000569409",16,30199228,30204310,"protein_coding",-7.428424526,1.1e-13,0.000999001,0.019189509,"rs4788204",2.94e-14,4.13102005686378e-16,6.53632673507104e-14,2.2e-13
"ENSG00000103549","Developmental","SCZ","isoTWAS","RNF40","ENST00000565931",16,30761745,30776307,"protein_coding",-8.153512232,3.54e-16,0.000999001,0.025623266,"rs4788204",2.94e-14,2.12319917331386e-15,2.8555259548427e-13,3.894e-15
"ENSG00000103549","Developmental","SCZ","isoTWAS","RNF40","ENST00000493683",16,30761745,30776307,"protein_coding",-8.153512232,3.54e-16,0.000999001,0.03337009,"rs4788204",2.94e-14,2.12319917331386e-15,2.8555259548427e-13,3.894e-15
"ENSG00000013364","Developmental","SCZ","isoTWAS","MVP","ENST00000570234",16,29820394,29848039,"protein_coding",8.232403777,1.83e-16,0.000999001,0.02778183,"rs4788204",2.94e-14,1.09716873209714e-15,1.55326369888735e-13,9.15e-16
"ENSG00000261052","Developmental","SCZ","isoTWAS","SULT1A3","ENST00000562257",16,30199228,30204310,"protein_coding",-8.266185148,1.38e-16,0.000999001,0.026805837,"rs4788204",2.94e-14,4.13102005686378e-16,6.53632673507104e-14,2.76e-16
"ENSG00000102879","Developmental","SCZ","isoTWAS","CORO1A","ENST00000561815",16,30182827,30189076,"protein_coding",8.595530108,8.29e-18,0.000999001,0.068085156,"rs4788204",2.94e-14,9.94780728536629e-17,1.70795384870773e-14,9.119e-17
"ENSG00000250616","Developmental","SCZ","isoTWAS","YPEL3-DT","ENST00000515455",16,30096430,30105193,"lncRNA",-7.62842795,2.38e-14,0.000999001,0.010749823,"rs4788204",2.94e-14,2.38383114736783e-14,2.70934161178657e-12,0
"ENSG00000179965","Developmental","SCZ","isoTWAS","ZNF771","ENST00000319296",16,30407414,30431108,"protein_coding",-8.387035223,4.99e-17,0.000999001,0.033335467,"rs4787489",3.54e-14,1.99599999999585e-16,3.28708612244215e-14,1.497e-16
"ENSG00000169682","Developmental","SCZ","isoTWAS","SPNS1","ENST00000567771",16,28974221,28984548,"protein_coding",-6.42060824,1.36e-10,0.013986014,0.068984839,"rs9932702",3.59e-14,1.08799979265756e-09,4.65762033254654e-08,9.52e-10
"ENSG00000204406","Developmental","NTSM","isoTWAS","MBD5","ENST00000636371",2,148021011,148516971,"protein_coding",-3.583164215,0.000339457,0.027972028,0.037637762,"rs2042555",3.76e-14,1.05097016816209e-05,0.000136347327523858,0.005431312
"ENSG00000121989","Developmental","NTSM","isoTWAS","ACVR2A","ENST00000241416",2,147844517,147930826,"protein_coding",3.929447105,8.51e-05,0.000999001,0.01464984,"rs2042555",3.76e-14,0.000498796692404452,0.00262693950114187,0.0004255
"ENSG00000204406","Developmental","NTSM","isoTWAS","MBD5","ENST00000496893",2,148021011,148516971,"protein_coding",4.696147548,2.65e-06,0.030969031,0.030450584,"rs2042555",3.76e-14,1.05097016816209e-05,0.000136347327523858,4.505e-05
"ENSG00000204406","Developmental","NTSM","isoTWAS","MBD5","ENST00000469438",2,148021011,148516971,"protein_coding",4.94702139,7.54e-07,0.027972028,0.011017152,"rs2042555",3.76e-14,1.05097016816209e-05,0.000136347327523858,1.2818e-05
"ENSG00000135999","Developmental","NTSM","isoTWAS","EPC2","ENST00000258484",2,148644440,148787569,"protein_coding",-5.210903481,1.88e-07,0.031968032,0.031521929,"rs2042555",3.76e-14,5.63911963185592e-07,1.1652977175227e-05,3.76e-07
"ENSG00000165995","Developmental","SCZ","isoTWAS","CACNB2","ENST00000498816",10,18140424,18543557,"protein_coding",3.925043323,8.67e-05,0.043956044,0.024172156,"rs7893279",4.35e-14,2.18410221273713e-06,3.69488738064618e-05,0.000867
"ENSG00000125746","Developmental","ALZ","isoTWAS","EML2","ENST00000586770",19,45606994,45645602,"protein_coding",-7.542,4.63e-14,0.000999001,0.017076261,"rs10426401",4.63e-14,1.47356296348656e-24,1.48636454173185e-21,8.334e-13
"ENSG00000125746","Developmental","ALZ","isoTWAS","EML2","ENST00000587152",19,45606994,45645602,"protein_coding",7.542,4.63e-14,0.000999001,0.0249814,"rs10426401",4.63e-14,1.47356296348656e-24,1.48636454173185e-21,8.334e-13
"ENSG00000125746","Developmental","ALZ","isoTWAS","EML2","ENST00000592901",19,45606994,45645602,"protein_coding",-7.542,4.63e-14,0.000999001,0.02714893,"rs10426401",4.63e-14,1.47356296348656e-24,1.48636454173185e-21,8.334e-13
"ENSG00000125746","Developmental","ALZ","isoTWAS","EML2","ENST00000399594",19,45606994,45645602,"protein_coding",7.542,4.63e-14,0.000999001,0.029144268,"rs10426401",4.63e-14,1.47356296348656e-24,1.48636454173185e-21,8.334e-13
"ENSG00000239900","Developmental","NTSM","isoTWAS","ADSL","ENST00000636433",22,40346461,40390463,"protein_coding",4.32075778,1.55e-05,0.000999001,0.038795413,"rs2273085",5.15e-14,8.53551406856809e-12,6.06848729306698e-10,0.0001705
"ENSG00000100207","Developmental","NTSM","isoTWAS","TCF20","ENST00000359486",22,42160013,42343616,"protein_coding",3.872800025,0.000107592,0.047952048,0.017952741,"rs2273085",5.15e-14,6.31981434089447e-09,2.29203334039766e-07,0.000107592
"ENSG00000100387","Developmental","NTSM","isoTWAS","RBX1","ENST00000216225",22,40951347,40973309,"protein_coding",4.71744644,2.39e-06,0.000999001,0.025599799,"rs2273085",5.15e-14,7.15788119804389e-06,9.79822261706788e-05,4.78e-06
"ENSG00000100380","Developmental","NTSM","isoTWAS","ST13","ENST00000495652",22,40824535,40856639,"protein_coding",4.97729288,6.45e-07,0.02997003,0.028308852,"rs2273085",5.15e-14,4.52634665191591e-11,2.80964263904888e-09,1.214e-06
"ENSG00000100380","Developmental","NTSM","isoTWAS","ST13","ENST00000216218",22,40824535,40856639,"protein_coding",4.988973088,6.07e-07,0.000999001,0.115980967,"rs2273085",5.15e-14,4.52634665191591e-11,2.80964263904888e-09,1.214e-06
"ENSG00000100418","Developmental","NTSM","isoTWAS","DESI1","ENST00000263256",22,41598028,41621043,"protein_coding",4.993473345,5.93e-07,0.000999001,0.120458658,"rs2273085",5.15e-14,3.52477624260732e-09,1.35766977993889e-07,1.186e-06
"ENSG00000100138","Developmental","NTSM","isoTWAS","SNU13","ENST00000401959",22,41673933,41690504,"protein_coding",5.1341988,2.83e-07,0.000999001,0.013206421,"rs2273085",5.15e-14,1.21712262393709e-09,5.11540156971892e-08,1.132e-06
"ENSG00000239900","Developmental","NTSM","isoTWAS","ADSL","ENST00000636265",22,40346461,40390463,"protein_coding",5.451531407,4.99e-08,0.048951049,0.032739996,"rs2273085",5.15e-14,8.53551406856809e-12,6.06848729306698e-10,6.487e-07
"ENSG00000239900","Developmental","NTSM","isoTWAS","ADSL","ENST00000625194",22,40346461,40390463,"protein_coding",-5.451531407,4.99e-08,0.041958042,0.043900476,"rs2273085",5.15e-14,8.53551406856809e-12,6.06848729306698e-10,6.487e-07
"ENSG00000184983","Developmental","NTSM","isoTWAS","NDUFA6","ENST00000498737",22,42085526,42090884,"protein_coding",5.12441249,2.98e-07,0.007992008,0.601348239,"rs2273085",5.15e-14,8.93489793784091e-07,1.73944894835723e-05,5.96e-07
"ENSG00000100372","Developmental","NTSM","isoTWAS","SLC25A17","ENST00000443810",22,40769630,40819399,"protein_coding",-5.918884938,3.24e-09,0.046953047,0.052521295,"rs2273085",5.15e-14,1.70251927660502e-09,6.92114826325653e-08,3.564e-08
"ENSG00000196588","Developmental","NTSM","isoTWAS","MRTFA","ENST00000651158",22,40410281,40636719,"protein_coding",-5.916423232,3.29e-09,0.018981019,0.023791819,"rs2273085",5.15e-14,9.49937560336753e-10,4.12777629891064e-08,2.961e-08
"ENSG00000100372","Developmental","NTSM","isoTWAS","SLC25A17","ENST00000447566",22,40769630,40819399,"protein_coding",6.020262216,1.74e-09,0.001998002,0.013150906,"rs2273085",5.15e-14,1.70251927660502e-09,6.92114826325653e-08,2.088e-08
"ENSG00000100401","Developmental","NTSM","isoTWAS","RANGAP1","ENST00000446258",22,41244779,41286187,"protein_coding",-5.819730003,5.89e-09,0.01998002,0.043289168,"rs2273085",5.15e-14,9.22226972735576e-09,3.23211572351076e-07,1.767e-08
"ENSG00000100401","Developmental","NTSM","isoTWAS","RANGAP1","ENST00000455915",22,41244779,41286187,"protein_coding",5.892645687,3.8e-09,0.000999001,0.025913312,"rs2273085",5.15e-14,9.22226972735576e-09,3.23211572351076e-07,1.14e-08
"ENSG00000100372","Developmental","NTSM","isoTWAS","SLC25A17","ENST00000263255",22,40769630,40819399,"protein_coding",6.13804829,8.35e-10,0.003996004,0.026639733,"rs2273085",5.15e-14,1.70251927660502e-09,6.92114826325653e-08,1.0855e-08
"ENSG00000196419","Developmental","NTSM","isoTWAS","XRCC6","ENST00000360079",22,41621163,41664048,"protein_coding",-5.978471685,2.25e-09,0.011988012,0.020561904,"rs2273085",5.15e-14,3.19575957714975e-10,1.60674030578255e-08,9e-09
"ENSG00000196588","Developmental","NTSM","isoTWAS","MRTFA","ENST00000355630",22,40410281,40636719,"protein_coding",-6.147699514,7.86e-10,0.014985015,0.019127629,"rs2273085",5.15e-14,9.49937560336753e-10,4.12777629891064e-08,7.86e-09
"ENSG00000100380","Developmental","NTSM","isoTWAS","ST13","ENST00000620312",22,40824535,40856639,"protein_coding",-6.03998799,1.54e-09,0.028971029,0.022623741,"rs2273085",5.15e-14,4.52634665191591e-11,2.80964263904888e-09,4.62e-09
"ENSG00000100359","Developmental","NTSM","isoTWAS","SGSM3","ENST00000417424",22,40370591,40410289,"protein_coding",-6.279963989,3.39e-10,0.000999001,0.012351512,"rs2273085",5.15e-14,3.67382795711111e-09,1.40502154975868e-07,3.729e-09
"ENSG00000100395","Developmental","NTSM","isoTWAS","L3MBTL2","ENST00000489136",22,41205282,41231271,"protein_coding",-6.271870779,3.57e-10,0.000999001,0.035764034,"rs2273085",5.15e-14,3.21298478177534e-09,1.24622494422509e-07,2.856e-09
"ENSG00000100418","Developmental","NTSM","isoTWAS","DESI1","ENST00000468151",22,41598028,41621043,"protein_coding",-6.127511564,8.93e-10,0.037962038,0.023510487,"rs2273085",5.15e-14,3.52477624260732e-09,1.35766977993889e-07,2.679e-09
"ENSG00000100372","Developmental","NTSM","isoTWAS","SLC25A17","ENST00000402844",22,40769630,40819399,"protein_coding",6.376493736,1.81e-10,0.016983017,0.020993729,"rs2273085",5.15e-14,1.70251927660502e-09,6.92114826325653e-08,2.353e-09
"ENSG00000100413","Developmental","NTSM","isoTWAS","POLR3H","ENST00000407461",22,41525799,41544606,"protein_coding",6.391418777,1.64e-10,0.000999001,0.043615391,"rs2273085",5.15e-14,1.46872903050785e-09,6.04689230187911e-08,1.312e-09
"ENSG00000100417","Developmental","NTSM","isoTWAS","PMM1","ENST00000472620",22,41576900,41589871,"protein_coding",6.28598245,3.26e-10,0.041958042,0.015217477,"rs2273085",5.15e-14,8.14954954317802e-10,3.65348833548194e-08,1.304e-09
"ENSG00000100417","Developmental","NTSM","isoTWAS","PMM1","ENST00000478337",22,41576900,41589871,"protein_coding",6.28598245,3.26e-10,0.034965035,0.036781554,"rs2273085",5.15e-14,8.14954954317802e-10,3.65348833548194e-08,1.304e-09
"ENSG00000198911","Developmental","NTSM","isoTWAS","SREBF2","ENST00000462539",22,41833079,41907307,"protein_coding",-6.29675454,3.04e-10,0.000999001,0.021735916,"rs2273085",5.15e-14,3.8699999014671e-17,7.26254981509042e-15,1.216e-09
"ENSG00000100167","Developmental","NTSM","isoTWAS","SEPTIN3","ENST00000460267",22,41969443,41998221,"protein_coding",6.405365071,1.5e-10,0.008991009,0.015815219,"rs2273085",5.15e-14,8.99970323979525e-10,3.96847569909988e-08,7.5e-10
"ENSG00000196419","Developmental","NTSM","isoTWAS","XRCC6","ENST00000405506",22,41621163,41664048,"protein_coding",6.530019299,6.58e-11,0.000999001,0.031169031,"rs2273085",5.15e-14,3.19575957714975e-10,1.60674030578255e-08,2.632e-10
"ENSG00000100380","Developmental","NTSM","isoTWAS","ST13","ENST00000455824",22,40824535,40856639,"protein_coding",6.787476544,1.14e-11,0.005994006,0.022007637,"rs2273085",5.15e-14,4.52634665191591e-11,2.80964263904888e-09,3.42e-11
"ENSG00000252859","Developmental","NTSM","isoTWAS","RNU6-375P","ENST00000517050",22,41168217,41168316,"snRNA",5.284689001,1.26e-07,0.006993007,0.014466121,"rs2273085",5.15e-14,1.25999999983362e-07,3.19734905618157e-06,0
"ENSG00000266594","Developmental","NTSM","isoTWAS","MIR4766","ENST00000584704",22,40813883,40813958,"miRNA",-6.116901756,9.54e-10,0.013986014,0.010116779,"rs2273085",5.15e-14,9.53999974901584e-10,4.12777629891064e-08,0
"ENSG00000111231","Developmental","NTSM","isoTWAS","GPN3","ENST00000537466",12,110452486,110469268,"protein_coding",6.657183839,2.79e-11,0.005994006,0.070675201,"rs11067376",5.52e-14,1.11600085881981e-10,6.40965760159889e-09,8.37e-11
"ENSG00000130787","Developmental","SCZ","isoTWAS","HIP1R","ENST00000535012",12,122834453,122862961,"protein_coding",-6.060515556,1.36e-09,0.048951049,0.026409766,"rs4759407",6e-14,1.0879772942572e-08,3.74389457399081e-07,9.52e-09
"ENSG00000182196","Developmental","SCZ","isoTWAS","ARL6IP4","ENST00000543566",12,122980060,122982913,"protein_coding",7.500503724,6.36e-14,0.041958042,0.052080743,"rs4759407",6e-14,2.3490999734762e-14,2.68880315403775e-12,6.996e-13
"ENSG00000184047","Developmental","SCZ","isoTWAS","DIABLO","ENST00000342392",12,122207663,122227456,"protein_coding",5.818692602,5.93e-09,0.034965035,0.018161514,"rs4759407",6e-14,6.52294625766402e-08,1.79342128879795e-06,5.93e-08
"ENSG00000182196","Developmental","SCZ","isoTWAS","ARL6IP4","ENST00000412505",12,122980060,122982913,"protein_coding",7.633811593,2.28e-14,0.033966034,0.022253538,"rs4759407",6e-14,2.3490999734762e-14,2.68880315403775e-12,2.736e-13
"ENSG00000182196","Developmental","SCZ","isoTWAS","ARL6IP4","ENST00000536502",12,122980060,122982913,"protein_coding",-7.833427378,4.75e-15,0.011988012,0.035266015,"rs4759407",6e-14,2.3490999734762e-14,2.68880315403775e-12,6.65e-14
"ENSG00000130921","Developmental","SCZ","isoTWAS","MTRFR","ENST00000253233",12,123233385,123258079,"protein_coding",-7.958494535,1.74e-15,0.008991009,0.059656031,"rs4759407",6e-14,1.37262886829475e-14,1.61699688360649e-12,1.218e-14
"ENSG00000101544","Developmental","SCZ","isoTWAS","ADNP2","ENST00000560752",18,80109262,80147523,"protein_coding",5.617560084,1.94e-08,0.021978022,0.023470081,"rs2277725",8.46e-14,7.75979894851675e-08,2.08383760429883e-06,5.82e-08
"ENSG00000149564","Developmental","SCZ","isoTWAS","ESAM","ENST00000444566",11,124752583,124762290,"protein_coding",4.545219287,5.49e-06,0.013986014,0.01639754,"rs1940171",8.85e-14,5.49000000000025e-06,7.88283896797189e-05,0
"ENSG00000128512","Developmental","SCZ","isoTWAS","DOCK4","ENST00000437129",7,111726110,112206407,"protein_coding",-3.845936666,0.000120093,0.033966034,0.024283058,"rs38752",1.08e-13,8.6227074525488e-05,0.000721647902461574,0.001561209
"ENSG00000105726","Developmental","SCZ","isoTWAS","ATP13A1","ENST00000469641",19,19645198,19663676,"protein_coding",4.920657325,8.63e-07,0.03996004,0.015854866,"rs2965189",1.11e-13,1.72143951666515e-10,9.385916337655e-09,7.767e-06
"ENSG00000064489","Developmental","SCZ","isoTWAS","BORCS8-MEF2B","ENST00000602804",19,19145569,19192158,"protein_coding",5.600811325,2.13e-08,0.038961039,0.056974839,"rs2965189",1.11e-13,9.39758561583934e-08,2.45814642226955e-06,8.52e-08
"ENSG00000105669","Developmental","SCZ","isoTWAS","COPE","ENST00000598969",19,18899514,18919387,"protein_coding",-5.513429852,3.52e-08,0.024975025,0.027334663,"rs2965189",1.11e-13,8.12781937908594e-08,2.17176948607729e-06,3.168e-07
"ENSG00000105655","Developmental","SCZ","isoTWAS","ISYNA1","ENST00000577820",19,18434388,18438167,"protein_coding",3.409064985,0.000651859,0.022977023,0.011766155,"rs2965189",1.11e-13,1.32296345611327e-07,3.33614175284563e-06,0.005214872
"ENSG00000130287","Developmental","SCZ","isoTWAS","NCAN","ENST00000585410",19,19211958,19252233,"protein_coding",-6.136983895,8.41e-10,0.020979021,0.047048752,"rs2965189",1.11e-13,2.5229890153643e-09,9.95562829314533e-08,1.682e-09
"ENSG00000254901","Developmental","SCZ","isoTWAS","BORCS8","ENST00000585679",19,19176903,19192591,"protein_coding",6.071476021,1.27e-09,0.018981019,0.017143582,"rs2965189",1.11e-13,1.01599847226792e-08,3.51871230556481e-07,8.89e-09
"ENSG00000105705","Developmental","SCZ","isoTWAS","SUGP1","ENST00000587716",19,19276018,19320509,"protein_coding",5.537892702,3.06e-08,0.017982018,0.019166037,"rs2965189",1.11e-13,2.27738683490454e-07,5.29576831040267e-06,2.754e-07
"ENSG00000089639","Developmental","SCZ","isoTWAS","GMIP","ENST00000588171",19,19629476,19643657,"protein_coding",-6.116514081,9.56e-10,0.011988012,0.020820489,"rs2965189",1.11e-13,2.02895670099934e-11,1.37585429400959e-09,1.912e-09
"ENSG00000006015","Developmental","SCZ","isoTWAS","REX1BD","ENST00000595077",19,18588685,18592337,"protein_coding",5.746473196,9.11e-09,0.010989011,0.033328869,"rs2965189",1.11e-13,5.26739367285103e-08,1.49403280291991e-06,4.555e-08
"ENSG00000105726","Developmental","SCZ","isoTWAS","ATP13A1","ENST00000357324",19,19645198,19663676,"protein_coding",-6.636365114,3.22e-11,0.00999001,0.068205374,"rs2965189",1.11e-13,1.72143951666515e-10,9.385916337655e-09,3.864e-10
"ENSG00000181035","Developmental","SCZ","isoTWAS","SLC25A42","ENST00000594070",19,19063994,19113030,"protein_coding",6.536735481,6.29e-11,0.008991009,0.010904195,"rs2965189",1.11e-13,1.88700028241351e-10,1.00640155637618e-08,1.258e-10
"ENSG00000064545","Developmental","SCZ","isoTWAS","TMEM161A","ENST00000591031",19,19119169,19138513,"protein_coding",-5.951216251,2.66e-09,0.007992008,0.044855159,"rs2965189",1.11e-13,1.59599842277001e-08,5.16188748398501e-07,1.33e-08
"ENSG00000213996","Developmental","SCZ","isoTWAS","TM6SF2","ENST00000431465",19,19264364,19273391,"protein_coding",-6.504111092,7.82e-11,0.002997003,0.023001187,"rs2965189",1.11e-13,3.90999894273203e-10,1.92388637002293e-08,3.128e-10
"ENSG00000267629","Developmental","SCZ","isoTWAS","","ENST00000586064",19,19254748,19273369,"lncRNA",-6.976753383,3.02e-12,0.002997003,0.023554128,"rs2965189",1.11e-13,3.01999150040523e-12,2.32093537262096e-10,0
"ENSG00000105655","Developmental","SCZ","isoTWAS","ISYNA1","ENST00000338128",19,18434388,18438167,"protein_coding",-5.665124563,1.47e-08,0.000999001,0.060673185,"rs2965189",1.11e-13,1.32296345611327e-07,3.33614175284563e-06,1.176e-07
"ENSG00000185920","Developmental","NTSM","isoTWAS","PTCH1","ENST00000549678",9,95442980,95517057,"protein_coding",3.421341967,0.000623129,0.043956044,0.035019475,"rs2282040",1.23e-13,0.006214380600467,0.0144307753253147,0.007477548
"ENSG00000182150","Developmental","NTSM","isoTWAS","ERCC6L2","ENST00000653738",9,95871264,96121154,"protein_coding",-4.12707306,3.67e-05,0.00999001,0.116141985,"rs2282040",1.23e-13,0.000196384695517888,0.0013268568338065,0.0002202
"ENSG00000115947","Developmental","NTSM","isoTWAS","ORC4","ENST00000490200",2,147930396,148021604,"protein_coding",7.586603936,3.28e-14,0.016983017,0.031095464,"rs7582403",1.31e-13,8.83267001294865e-14,9.25652346357001e-12,3.28e-13
"ENSG00000115947","Developmental","NTSM","isoTWAS","ORC4","ENST00000535373",2,147930396,148021604,"protein_coding",-7.586603936,3.28e-14,0.026973027,0.040058013,"rs7582403",1.31e-13,8.83267001294865e-14,9.25652346357001e-12,3.28e-13
"ENSG00000115947","Developmental","NTSM","isoTWAS","ORC4","ENST00000392857",2,147930396,148021604,"protein_coding",-7.586603936,3.28e-14,0.031968032,0.165676166,"rs7582403",1.31e-13,8.83267001294865e-14,9.25652346357001e-12,3.28e-13
"ENSG00000115947","Developmental","NTSM","isoTWAS","ORC4","ENST00000540442",2,147930396,148021604,"protein_coding",7.586603936,3.28e-14,0.017982018,0.237242385,"rs7582403",1.31e-13,8.83267001294865e-14,9.25652346357001e-12,3.28e-13
"ENSG00000204681","Developmental","SCZ","isoTWAS","GABBR1","ENST00000476670",6,29555629,29633976,"protein_coding",-7.391,1.46e-13,0.000999001,0.017634115,"rs1628578",1.46e-13,1.31432484199838e-12,1.08778916025702e-10,1.168e-12
"ENSG00000184489","Developmental","SCZ","isoTWAS","PTP4A3","ENST00000329397",8,141391995,141432454,"protein_coding",-5.00329065,5.64e-07,0.038961039,0.011625557,"rs11167136",1.69e-13,1.69194215534308e-06,2.97130081012861e-05,1.128e-06
"ENSG00000149292","Developmental","NTSM","isoTWAS","TTC12","ENST00000429951",11,113314579,113383544,"protein_coding",7.646246569,2.07e-14,0.000999001,0.020775792,"rs12363125",1.77e-13,5.92478426202496e-17,1.07438306971709e-14,1.863e-13
"ENSG00000149292","Developmental","NTSM","isoTWAS","TTC12","ENST00000494714",11,113314579,113383544,"protein_coding",8.002714435,1.22e-15,0.000999001,0.015958716,"rs12363125",1.77e-13,5.92478426202496e-17,1.07438306971709e-14,1.342e-14
"ENSG00000204536","Developmental","NTSM","isoTWAS","CCHCR1","ENST00000507459",6,31142439,31158238,"protein_coding",-7.341,2.12e-13,0.000999001,0.038370864,"rs429150",2.12e-13,3.07800956573939e-13,2.88813932450395e-11,2.332e-12
"ENSG00000204428","Developmental","NTSM","isoTWAS","LY6G5C","ENST00000474395",6,31676684,31684040,"protein_coding",-7.321728146,2.45e-13,0.034965035,0.35856596,"rs429150",2.12e-13,4.29e-35,1.3847262e-31,4.9e-13
"ENSG00000204394","Developmental","NTSM","isoTWAS","VARS1","ENST00000463184",6,31777518,31795752,"protein_coding",7.66575826,1.78e-14,0.000999001,0.014813591,"rs429150",2.12e-13,6.50157624247623e-16,9.62650816305723e-14,8.9e-14
"ENSG00000257277","Developmental","SCZ","isoTWAS","","ENST00000668870",2,143674315,143741294,"lncRNA",-3.741126604,0.000183197,0.042957043,0.031434171,"rs12991836",2.71e-13,0.00018319700000004,0.00126194312404547,0
"ENSG00000121964","Developmental","SCZ","isoTWAS","GTDC1","ENST00000482601",2,143938068,144332568,"protein_coding",-4.455611604,8.37e-06,0.023976024,0.019808541,"rs12991836",2.71e-13,0.000108099456600729,0.000851430658536321,0.00012555
"ENSG00000121964","Developmental","SCZ","isoTWAS","GTDC1","ENST00000392867",2,143938068,144332568,"protein_coding",-4.085684802,4.39e-05,0.021978022,0.030035325,"rs12991836",2.71e-13,0.000108099456600729,0.000851430658536321,0.0006585
"ENSG00000183864","Developmental","SCZ","isoTWAS","TOB2","ENST00000434408",22,41433494,41446801,"protein_coding",5.478171575,4.3e-08,0.025974026,0.014418667,"rs5751191",2.75e-13,7.98366667403004e-08,2.13678932756502e-06,4.3e-08
"ENSG00000167077","Developmental","SCZ","isoTWAS","MEI1","ENST00000423900",22,41699503,41799456,"protein_coding",7.874209334,3.43e-15,0.003996004,0.017417413,"rs5751191",2.75e-13,1.04482843773345e-14,1.25839448929702e-12,6.86e-15
"ENSG00000159958","Developmental","SCZ","isoTWAS","TNFRSF13C","ENST00000291232",22,41922032,41926806,"protein_coding",5.222419856,1.77e-07,0.003996004,0.013168278,"rs5751191",2.75e-13,1.77000000004078e-07,4.28919369379252e-06,0
"ENSG00000247596","Developmental","SCZ","isoTWAS","TWF2","ENST00000499914",3,52228612,52246788,"protein_coding",-8.458089133,2.72e-17,0.038961039,0.034270292,"rs648514",2.84e-13,8.15999999999929e-17,1.44718945054933e-14,5.44e-17
"ENSG00000196391","Developmental","SCZ","isoTWAS","ZNF774","ENST00000354377",15,90352284,90369146,"protein_coding",4.189427368,2.8e-05,0.027972028,0.109526558,"rs1894400",2.84e-13,5.59323598568672e-05,0.000516414391149874,2.8e-05
"ENSG00000275345","Developmental","SCZ","isoTWAS","","ENST00000610689",15,90281858,90282270,"lncRNA",-4.141471635,3.45e-05,0.027972028,0.012288994,"rs1894400",2.84e-13,3.45000000000222e-05,0.000354860080390309,0
"ENSG00000184056","Developmental","SCZ","isoTWAS","VPS33B","ENST00000554660",15,90998673,91022603,"protein_coding",3.494645963,0.000474691,0.020979021,0.014829979,"rs1894400",2.84e-13,0.000967514334012018,0.00420348858527136,0.002373455
